# Photoabsorption spectrum from real-time propagation
# GPAW version: 22.8.0
# Total time = 20.0000 fs, Time steps = [0.0000, 8.0000] as
# Kick = [0, 0, 0.001]
# Gaussian folding, Width = 0.2123 eV = 0.007802 Hartree <=> FWHM = 0.499928 eV
#    om (eV)                  S_x                  S_y                  S_z
   15.300000     0.0000000000e+00     0.0000000000e+00     8.2876500371e-01
   15.350000     0.0000000000e+00     0.0000000000e+00     7.9171736711e-01
   15.400000     0.0000000000e+00     0.0000000000e+00     7.4972008859e-01
   15.450000     0.0000000000e+00     0.0000000000e+00     7.0847727687e-01
   15.500000     0.0000000000e+00     0.0000000000e+00     6.7280406424e-01
   15.550000     0.0000000000e+00     0.0000000000e+00     6.4581823404e-01
   15.600000    -0.0000000000e+00    -0.0000000000e+00     6.2855851769e-01
   15.650000    -0.0000000000e+00    -0.0000000000e+00     6.2007446012e-01
   15.700000    -0.0000000000e+00    -0.0000000000e+00     6.1793645258e-01
   15.750000    -0.0000000000e+00    -0.0000000000e+00     6.1903284287e-01
   15.800000    -0.0000000000e+00    -0.0000000000e+00     6.2045967250e-01
   15.850000    -0.0000000000e+00    -0.0000000000e+00     6.2027834162e-01
   15.900000    -0.0000000000e+00    -0.0000000000e+00     6.1793565624e-01
   15.950000    -0.0000000000e+00    -0.0000000000e+00     6.1422323074e-01
   16.000000    -0.0000000000e+00    -0.0000000000e+00     6.1079061108e-01
   16.050000    -0.0000000000e+00    -0.0000000000e+00     6.0937936924e-01
   16.100000    -0.0000000000e+00    -0.0000000000e+00     6.1105490760e-01
   16.150000    -0.0000000000e+00    -0.0000000000e+00     6.1572722732e-01
   16.200000    -0.0000000000e+00    -0.0000000000e+00     6.2215428308e-01
   16.250000    -0.0000000000e+00    -0.0000000000e+00     6.2844137203e-01
   16.300000    -0.0000000000e+00    -0.0000000000e+00     6.3285490379e-01
   16.350000    -0.0000000000e+00    -0.0000000000e+00     6.3463799584e-01
   16.400000    -0.0000000000e+00    -0.0000000000e+00     6.3450546477e-01
   16.450000    -0.0000000000e+00    -0.0000000000e+00     6.3461453910e-01
   16.500000    -0.0000000000e+00    -0.0000000000e+00     6.3800688479e-01
   16.550000    -0.0000000000e+00    -0.0000000000e+00     6.4771351963e-01
   16.600000    -0.0000000000e+00    -0.0000000000e+00     6.6582653767e-01
   16.650000    -0.0000000000e+00    -0.0000000000e+00     6.9283166399e-01
   16.700000    -0.0000000000e+00    -0.0000000000e+00     7.2738277395e-01
   16.750000    -0.0000000000e+00    -0.0000000000e+00     7.6654546836e-01
   16.800000    -0.0000000000e+00    -0.0000000000e+00     8.0640895961e-01
   16.850000    -0.0000000000e+00    -0.0000000000e+00     8.4290081519e-01
   16.900000    -0.0000000000e+00    -0.0000000000e+00     8.7263089889e-01
